hold,rebalance,k_pct,exec_lag,cost,gross_sharpe,net_sharpe,ann_return,max_drawdown,turnover_annual,cost_drag_annual,n_bars
12,1,0.1,2,med,-1.0520381672094146,-6.2279264776837655,-0.6868089226022995,-0.9697561877312233,1267.6477290082864,0.9507357967562151,26398
12,1,0.1,2,high,-1.0520381672094146,-11.402478643055593,-0.8789874490413919,-0.9982775894355262,1267.6477290082864,1.90147159351243,26398
12,1,0.2,1,low,-0.5479432427728126,-2.6101689977507174,-0.25733658160726747,-0.5984141165815731,1150.6420598007298,0.23012841196014597,26398
12,1,0.2,1,med,-0.5479432427728126,-8.281082771884641,-0.6056082387065411,-0.9394184304197458,1150.6420598007298,0.8629815448505472,26398
12,1,0.2,1,high,-0.5479432427728126,-16.011443526246474,-0.833628000112498,-0.9955048062716413,1150.6420598007298,1.725963089701095,26398
12,1,0.2,2,low,-0.862500888475358,-2.9520390637924976,-0.28192568064329837,-0.6371277198726895,1150.6065051591443,0.23012130103182885,26398
12,1,0.2,2,med,-0.862500888475358,-8.697590813373862,-0.6186600165629078,-0.9452609603837645,1150.6065051591443,0.8629548788693582,26398
12,1,0.2,2,high,-0.862500888475358,-16.528525584066234,-0.8391302112102568,-0.9959380513149422,1150.6065051591443,1.7259097577387164,26398
12,1,0.3,1,low,-0.5449473908455083,-3.019278840456157,-0.22502955989529627,-0.5431059809621586,1030.3543471580065,0.20607086943160133,26398
12,1,0.3,1,med,-0.5449473908455083,-9.823069662452452,-0.560299185281994,-0.915962836145209,1030.3543471580065,0.772765760368505,26398
12,1,0.3,1,high,-0.5449473908455083,-19.09515574764946,-0.7969972173717476,-0.9918120005767197,1030.3543471580065,1.5455315207370095,26398
12,1,0.3,2,low,-0.8842794024738617,-3.3885858319059823,-0.24589009693628738,-0.5784110144445225,1030.3191516542151,0.206063830330843,26398
12,1,0.3,2,med,-0.8842794024738617,-10.274403280268773,-0.5721275601223897,-0.9225659320809955,1030.3191516542151,0.7727393637406613,26398
12,1,0.3,2,high,-0.8842794024738617,-19.65722329821649,-0.802453512458174,-0.9924574121540123,1030.3191516542151,1.5454787274813224,26398
12,2,0.1,1,low,-0.9646650050616656,-2.2281907551229163,-0.3736599345650814,-0.764849420626521,1269.4610955375408,0.2538922191075082,26398
12,2,0.1,1,med,-0.9646650050616656,-5.694284175244464,-0.6884506731662025,-0.9702899398997308,1269.4610955375408,0.9520958216531558,26398
12,2,0.1,1,high,-0.9646650050616656,-10.378769017442755,-0.8798071577477932,-0.9983128142754978,1269.4610955375408,1.9041916433063113,26398
12,2,0.1,2,low,-0.9635701788563559,-2.246705855922347,-0.3713197458826678,-0.7592603770883475,1269.3689168371343,0.25387378336742683,26398
12,2,0.1,2,med,-0.9635701788563559,-5.770011051651367,-0.687261185992009,-0.9699479135651006,1269.3689168371343,0.9520266876278508,26398
12,2,0.1,2,high,-0.9635701788563559,-10.53904762027494,-0.8793348719849668,-0.9982924661202873,1269.3689168371343,1.9040533752557016,26398
12,2,0.2,1,low,-0.6872236830945394,-2.6227103598406187,-0.27337730801332294,-0.6229137297405631,1152.3496368772526,0.2304699273754506,26398
12,2,0.2,1,med,-0.6872236830945394,-7.91756511154382,-0.6145092942419477,-0.9434540723197837,1152.3496368772526,0.8642622276579396,26398
12,2,0.2,1,high,-0.6872236830945394,-14.99673470562962,-0.8376150107296827,-0.9958216632035601,1152.3496368772526,1.7285244553158792,26398
12,2,0.2,2,low,-0.851538864824261,-2.796202485705026,-0.28709794219613005,-0.6442924138152077,1152.2785275940817,0.23045570551881642,26398
12,2,0.2,2,med,-0.851538864824261,-8.126412380933107,-0.6217661031921109,-0.946622576936053,1152.2785275940817,0.8642088956955614,26398
12,2,0.2,2,high,-0.851538864824261,-15.275256428950447,-0.8406590635382091,-0.9960554164986241,1152.2785275940817,1.7284177913911232,26398
12,2,0.3,1,low,-0.6037937366910985,-2.9243449638098404,-0.23190501612830938,-0.5564761057216405,1031.3212777827518,0.2062642555565504,26398
